,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40
0,7,2,8,5,6,4,6,6,1,4,5,1,6,2,4,3,1,1,4,1,4,1,1,6,6,1,8,2,3,7,3,8,4,1,7,8,8,4,1,7
1,3,5,5,1,6,8,2,8,3,7,7,5,3,7,3,2,2,7,6,3,5,8,2,5,3,5,6,8,5,6,6,6,2,6,3,3,2,2,5,8
2,2,7,6,2,8,6,6,4,8,3,5,1,2,7,3,5,2,7,4,4,3,7,8,4,7,8,6,2,5,8,6,2,1,2,7,7,1,2,6,4
3,7,8,6,1,3,3,2,5,5,7,3,3,1,4,7,5,6,1,6,5,5,7,1,2,7,2,7,8,4,5,4,4,5,6,6,3,3,6,6,2
4,6,5,7,8,3,2,7,7,4,1,5,4,7,6,1,2,6,8,4,7,7,8,3,8,5,2,6,2,4,7,6,3,8,1,2,5,7,6,1,6
5,3,6,8,2,2,3,6,8,5,6,4,1,1,3,1,3,1,5,8,7,8,7,5,3,8,1,4,3,7,4,8,5,1,6,8,6,8,8,3,1
6,1,2,4,3,6,7,8,8,3,2,1,2,3,7,4,7,4,1,2,5,8,1,3,1,7,6,6,7,3,6,1,8,8,8,6,6,3,6,2,3
7,7,2,7,7,7,6,6,2,1,4,3,2,3,3,2,6,5,5,7,5,8,2,3,6,2,3,5,5,8,5,4,2,3,3,4,2,7,6,4,8
8,6,4,4,7,4,8,3,1,6,8,4,4,4,7,6,4,4,5,4,1,6,5,7,1,3,7,7,6,4,4,1,1,5,1,6,7,4,2,8,2
9,4,6,1,8,7,5,8,5,4,3,7,7,7,7,8,6,3,8,5,8,7,3,1,6,4,8,1,8,7,6,1,2,1,7,1,5,3,7,5,7
10,8,7,2,5,5,6,5,6,3,6,6,5,7,3,3,7,2,3,2,1,4,5,2,8,4,1,4,3,2,5,8,4,4,6,2,1,7,7,4,4
11,6,4,3,5,4,4,2,6,2,1,3,8,2,3,6,8,6,8,3,1,2,3,5,5,2,7,7,2,3,4,5,4,4,3,5,6,2,3,7,6
12,4,1,1,8,3,7,5,4,3,2,2,5,8,3,4,4,1,8,3,8,2,8,4,4,2,3,2,3,7,8,8,4,3,6,5,3,1,1,1,7
13,1,6,3,4,6,2,8,6,1,2,5,1,7,1,6,4,2,7,4,4,1,2,5,1,7,1,8,1,8,8,4,1,4,3,1,1,3,5,2,5
14,4,1,2,2,3,1,6,8,7,6,4,1,3,8,5,5,8,5,1,3,7,1,1,5,7,1,3,6,8,8,6,2,1,3,2,5,7,4,3,1
15,8,5,2,2,8,2,1,1,5,3,4,4,6,7,5,2,5,6,2,4,3,3,4,3,7,1,1,3,4,8,8,2,8,1,3,1,4,7,1,5
16,2,1,8,7,7,2,7,1,7,5,2,4,6,6,7,2,8,6,1,7,7,5,4,3,7,2,5,2,7,3,4,1,3,3,6,5,8,3,6,7
17,5,1,3,7,2,7,1,6,4,8,7,5,3,1,7,1,2,4,5,7,7,7,2,5,2,6,3,8,6,4,5,1,5,1,1,7,5,5,8,5
18,8,5,4,5,4,4,5,2,8,7,3,4,7,4,6,7,5,3,5,5,5,6,2,4,6,8,8,1,2,3,5,2,8,7,6,4,1,7,8,3
19,6,2,5,2,5,7,2,8,4,7,3,4,6,6,8,1,5,4,1,2,4,6,5,2,2,1,3,1,3,2,5,6,5,6,1,1,2,4,1,6
20,8,2,6,6,1,8,5,3,2,3,6,8,1,4,2,6,8,8,3,2,3,4,2,1,5,5,6,2,1,8,8,6,3,2,7,2,2,4,3,6
21,7,3,6,2,1,3,1,7,4,3,1,2,4,1,2,8,5,6,2,7,7,1,8,5,7,3,6,6,2,6,1,7,3,6,8,6,7,2,8,6
22,8,7,7,8,3,8,3,1,4,6,2,2,1,4,6,2,5,4,7,5,2,3,2,8,4,5,3,5,5,7,3,6,7,5,3,7,2,6,3,2
23,8,3,1,6,7,7,6,4,2,5,2,3,4,4,1,8,4,1,7,3,3,5,1,3,4,7,4,4,4,3,1,3,5,1,3,7,3,4,8,7
24,6,2,8,3,6,5,2,3,4,5,6,2,1,5,8,7,8,1,4,2,3,1,5,1,1,6,7,6,8,1,5,5,5,8,1,3,3,2,1,8
25,4,5,5,3,6,4,4,1,7,5,1,7,4,5,4,6,2,6,7,4,4,1,8,3,8,3,5,4,7,1,8,5,5,1,6,1,2,1,8,3
26,1,6,1,4,6,7,6,4,2,4,5,2,5,3,5,2,6,2,2,1,8,4,1,4,8,1,1,6,2,1,8,5,1,1,4,3,2,6,4,5
27,3,5,2,1,7,2,5,8,5,4,7,2,4,7,1,1,6,4,8,8,7,2,1,7,2,7,8,4,1,7,4,3,6,6,5,4,6,4,4,3
28,8,4,4,5,7,5,4,5,7,1,3,6,1,6,4,5,7,3,4,4,7,5,6,4,2,3,8,7,4,7,4,5,1,8,8,7,4,4,7,5
29,3,8,8,2,1,3,1,2,4,5,5,1,1,6,7,5,5,7,4,8,3,7,8,2,1,5,4,4,4,2,4,6,7,3,4,7,3,1,8,4
30,6,7,3,8,7,5,6,1,7,5,7,3,2,4,4,7,2,7,4,8,4,5,6,3,1,8,7,3,1,2,7,6,2,2,1,5,7,4,6,6
31,5,4,5,8,2,4,8,4,1,8,8,3,6,7,5,6,3,6,1,5,2,7,2,3,5,8,7,2,1,7,5,5,4,3,1,2,4,6,2,5
32,7,7,8,2,5,5,1,1,3,2,2,1,2,8,8,8,1,8,7,4,3,8,1,4,3,6,7,5,6,6,1,4,7,2,4,2,6,6,4,2
33,1,7,8,7,3,5,8,6,6,2,6,1,4,5,8,6,3,1,3,6,3,5,1,6,2,4,6,6,4,1,6,1,6,4,6,8,2,1,1,2
34,2,2,4,5,1,6,3,7,8,8,4,1,6,3,2,6,8,2,5,5,6,4,2,7,7,2,2,2,5,4,7,2,8,5,7,3,2,2,7,8
35,6,5,5,7,8,2,4,6,5,5,6,5,5,2,3,3,5,1,6,8,5,1,1,1,7,5,7,1,5,4,8,6,5,5,8,1,7,1,8,7
36,3,4,3,5,2,6,6,5,4,1,1,4,7,5,8,3,7,2,1,6,3,2,1,6,5,3,7,1,7,3,1,7,1,7,1,8,5,3,4,5
37,1,8,4,3,8,6,6,3,2,2,1,3,3,2,5,3,6,3,2,5,1,4,6,3,3,6,5,5,5,2,5,2,6,8,4,5,4,6,2,7
38,8,6,3,7,1,6,1,1,7,4,1,3,2,5,2,5,4,4,8,1,4,5,8,7,2,7,5,8,2,8,3,7,1,1,5,6,5,7,7,2
39,8,7,8,5,5,1,3,6,2,3,5,1,4,2,5,2,4,5,1,6,1,4,4,4,5,6,2,1,8,3,3,8,6,6,6,2,4,1,1,8
40,8,2,7,1,8,2,3,7,3,3,6,6,5,2,5,8,5,6,2,8,5,5,2,2,6,7,7,6,1,8,1,3,4,1,3,4,4,8,7,1
41,7,1,7,6,5,7,5,1,5,4,8,6,1,6,7,4,6,5,6,7,7,6,4,4,4,3,3,6,4,6,7,1,1,8,3,4,2,2,8,8
42,5,2,5,6,3,7,6,6,4,1,8,3,5,3,7,2,4,2,6,8,8,1,7,8,6,1,7,2,2,4,6,3,4,6,1,5,2,4,4,1
43,4,6,3,8,8,5,3,3,3,2,4,7,2,3,8,3,4,6,6,5,7,4,1,1,2,2,8,7,2,5,4,5,8,8,6,3,4,1,1,2
44,6,5,7,1,2,6,2,4,4,2,6,4,6,5,6,3,7,7,4,4,2,7,4,2,2,1,8,3,4,4,4,5,1,8,4,6,1,7,4,2
45,6,2,7,7,6,4,6,4,4,6,4,2,1,3,2,4,6,8,6,1,5,6,5,2,2,7,6,3,2,1,8,5,2,1,6,7,8,4,2,6
46,3,4,4,4,3,4,8,2,1,2,4,5,7,5,6,3,8,7,6,2,7,1,3,6,6,2,4,2,5,3,5,6,3,5,2,2,1,6,2,5
47,4,7,1,8,3,7,8,1,5,5,4,6,6,7,4,3,5,7,1,6,2,4,2,3,1,8,6,8,2,3,7,6,6,1,8,2,7,8,3,2
48,3,8,6,4,1,2,1,2,3,3,7,7,7,1,4,7,6,4,3,1,8,6,3,3,5,3,6,4,3,6,2,1,5,7,8,5,3,7,8,2
49,6,8,6,4,2,8,8,7,2,5,2,7,4,3,8,8,3,5,6,3,1,8,1,4,3,5,7,2,4,4,7,1,2,5,8,4,5,4,1,7
50,6,5,8,5,6,2,3,6,3,4,1,3,3,3,6,2,8,6,2,6,4,4,6,7,2,1,5,4,1,7,2,2,4,6,3,2,4,4,4,6
51,5,1,5,1,8,2,7,8,1,7,6,2,5,6,5,7,5,5,2,6,7,1,3,5,5,8,7,1,5,3,3,8,6,1,5,7,1,2,3,4
52,4,4,8,2,6,7,8,7,5,4,4,4,2,4,4,6,4,2,5,1,8,4,8,4,7,5,4,7,4,1,5,3,2,3,4,6,8,8,8,1
53,3,3,1,6,8,1,6,1,8,4,8,5,4,2,7,2,3,2,5,2,7,4,2,1,4,8,5,8,7,7,2,5,5,4,1,8,7,4,5,5
54,8,5,3,5,2,6,8,6,8,8,2,2,4,8,5,1,3,2,8,3,4,3,8,3,1,7,8,1,1,4,7,6,3,2,4,8,3,2,8,7
55,8,7,8,7,5,2,4,2,5,7,4,7,7,7,5,6,4,7,2,4,4,2,2,5,3,4,8,4,6,4,4,6,4,1,2,3,7,6,7,4
56,3,3,1,1,5,4,5,7,5,1,7,5,8,2,4,3,5,8,8,7,7,1,5,2,2,8,2,7,6,3,1,1,4,2,2,4,7,5,2,8
57,2,1,4,6,3,2,3,1,7,7,4,6,2,2,5,5,6,8,6,6,7,4,1,5,6,3,7,4,8,1,1,1,5,1,2,5,7,8,8,4
58,3,1,7,5,1,5,6,5,8,3,2,5,3,5,3,7,1,2,5,8,3,7,6,5,2,1,4,2,5,3,8,1,8,6,4,8,4,7,6,3
59,5,8,5,8,5,1,1,2,1,7,8,4,5,3,6,6,1,7,8,6,3,8,2,1,7,6,7,2,7,6,7,6,5,5,8,1,4,5,5,1
60,4,1,4,2,5,1,7,5,5,8,6,8,5,1,2,2,3,2,7,2,3,4,8,2,7,3,4,2,4,6,8,5,7,4,2,8,1,2,4,8
61,1,3,5,8,3,4,3,2,2,8,7,6,7,2,3,2,4,3,7,3,8,4,5,2,7,8,3,4,6,1,5,6,1,6,6,8,5,8,7,1
62,4,7,1,6,3,2,3,6,2,7,3,1,6,1,7,5,4,1,1,8,4,1,6,5,4,6,4,1,4,8,5,7,2,3,7,3,3,4,6,4
63,6,2,8,7,6,4,1,2,4,4,2,4,5,3,1,3,7,7,4,5,6,1,8,8,3,2,5,7,4,7,4,1,6,8,4,3,3,5,4,1
64,8,7,3,6,6,5,1,1,7,5,6,2,7,6,7,7,4,1,3,7,1,1,8,7,7,4,1,4,6,2,6,1,1,4,5,2,7,6,2,1
65,5,8,3,3,2,7,7,6,4,5,4,7,6,3,3,6,8,6,1,3,5,4,8,6,4,7,3,6,5,8,1,5,8,7,4,6,1,2,5,2
66,1,3,8,3,7,4,8,5,5,7,3,1,6,5,7,5,7,6,8,1,7,1,5,1,1,2,7,3,3,4,3,3,3,1,2,1,1,2,4,4
67,2,6,1,6,5,8,3,8,7,4,6,3,5,6,1,4,7,6,4,7,4,3,7,2,7,7,1,4,7,8,6,4,5,8,8,5,1,7,8,2
68,4,8,1,3,2,7,1,5,3,3,5,2,5,6,2,1,2,3,6,4,6,1,7,8,4,4,6,2,4,2,1,7,7,8,7,4,1,8,8,6
69,5,5,6,2,3,5,6,7,7,1,4,1,8,2,5,5,3,6,7,3,3,7,2,7,2,7,1,7,2,7,1,3,4,7,2,3,6,3,7,6
70,4,3,1,5,1,4,6,2,4,3,7,3,2,5,6,1,3,6,1,4,5,1,5,4,7,3,5,6,4,5,5,8,5,5,7,6,5,3,8,8
71,8,1,4,3,4,8,5,7,7,1,4,2,4,4,4,8,6,3,5,2,4,2,1,4,7,3,8,7,2,3,6,2,2,2,4,5,2,7,3,7
72,7,4,2,3,6,3,3,4,5,7,6,8,6,2,1,6,5,5,5,6,4,3,5,4,2,4,5,7,5,5,6,1,7,3,1,8,6,4,8,6
73,7,4,3,8,7,6,2,1,1,1,2,7,1,8,6,6,4,5,1,1,1,7,8,6,5,6,4,6,5,1,3,1,3,6,6,3,3,2,8,6
74,2,3,3,4,1,2,8,8,6,6,6,8,5,3,2,2,7,2,7,5,7,8,4,2,2,7,2,7,7,5,5,1,5,4,6,3,4,1,8,1
75,5,2,1,8,4,1,4,6,8,7,7,8,3,5,2,1,6,6,2,3,5,7,8,5,5,1,4,5,2,4,5,3,8,8,6,6,5,4,6,2
76,8,2,4,1,2,6,6,1,6,7,4,2,5,7,8,2,3,5,6,3,2,6,7,1,8,4,7,8,3,4,2,6,2,5,3,2,7,7,2,7
77,5,5,3,6,7,7,4,7,1,3,3,7,4,5,3,3,2,2,6,3,7,6,5,4,6,6,8,1,8,5,3,3,3,4,2,2,6,2,4,2
78,4,2,7,7,5,3,3,3,7,7,4,2,5,3,1,2,1,3,3,8,6,6,1,4,8,3,1,4,7,7,4,5,4,6,6,2,8,5,7,1
79,2,8,8,3,8,5,4,8,5,6,4,4,8,5,7,2,1,6,2,8,8,3,7,6,3,3,6,1,5,4,3,2,7,8,5,4,8,7,7,6
